"","qry_gene_id","isMinorIntron","isMinorIR","isMinorAS","isIrFinder","GeneID","NExons","P.Value","FDR"
"197998","CIBAR1_1",FALSE,FALSE,FALSE,FALSE,"CIBAR1_1",6,6.54261508694056e-17,1.11750342127502e-12
"133445","HARS1_1",FALSE,FALSE,FALSE,FALSE,"HARS1_1",6,1.26193147905259e-16,1.11750342127502e-12
"258474","SPCS2_1",TRUE,FALSE,FALSE,FALSE,"SPCS2_1",3,3.12279984252142e-16,1.84359693369656e-12
"35107","CNIH4_1",TRUE,FALSE,FALSE,FALSE,"CNIH4_1",6,7.76612750944479e-14,3.43864710799442e-10
"13888","TM2D1_1",TRUE,FALSE,FALSE,FALSE,"TM2D1_1",9,1.6966095546217e-13,6.00973036438099e-10
"350866","TMEM107_1",TRUE,FALSE,FALSE,FALSE,"TMEM107_1",5,5.29589146919183e-13,1.56325889684761e-09
"31797","SNRPE_1",TRUE,FALSE,FALSE,FALSE,"SNRPE_1",5,6.67572320847952e-13,1.63746974216402e-09
"383045","UBL5_1",TRUE,FALSE,TRUE,TRUE,"UBL5_1",3,7.39639655429517e-13,1.63746974216402e-09
"414331","CRYZL1_1",TRUE,FALSE,FALSE,FALSE,"CRYZL1_1",9,8.45633700327022e-13,1.66411316294354e-09
"339699","VPS35_1",TRUE,FALSE,TRUE,FALSE,"VPS35_1",3,1.31987031661173e-12,2.33762231775104e-09
"98080","NCBP2_1",TRUE,FALSE,FALSE,FALSE,"NCBP2_1",4,3.02220961919755e-12,4.86603223323708e-09
"24168","KRTCAP2_1",TRUE,TRUE,FALSE,FALSE,"KRTCAP2_1",2,1.06837962820624e-11,1.57683929959672e-08
"9341","MYCBP_1",TRUE,TRUE,FALSE,FALSE,"MYCBP_1",2,1.85688156107661e-10,2.52978687140214e-07
"360284","CCDC43_1",TRUE,FALSE,TRUE,TRUE,"CCDC43_1",4,2.51651475489612e-10,3.18357091599751e-07
"215933","AOPEP_1",FALSE,FALSE,FALSE,FALSE,"AOPEP_1",19,7.72037046572159e-10,9.11569875455968e-07
"383718","SPC24_1",TRUE,FALSE,FALSE,TRUE,"SPC24_1",16,1.07041707206438e-09,1.18488479770826e-06
"378958","HSBP1L1_1",TRUE,FALSE,FALSE,FALSE,"HSBP1L1_1",3,1.48898677280253e-09,1.55126145488857e-06
"169055","POLD2_1",FALSE,FALSE,FALSE,FALSE,"POLD2_1",3,2.24549949107596e-09,2.20944674924702e-06
"351189","STX8_1",TRUE,FALSE,FALSE,FALSE,"STX8_1",6,2.47376078227151e-09,2.30593564288478e-06
"304752","ACTR10_1",TRUE,FALSE,FALSE,TRUE,"ACTR10_1",3,2.84671335675252e-09,2.52090701307219e-06
"263623","CENATAC_2",FALSE,FALSE,FALSE,FALSE,"CENATAC_2",3,4.51152323375676e-09,3.80493276157457e-06
"320651","PIGB_1",TRUE,FALSE,FALSE,FALSE,"PIGB_1",6,6.69321778839443e-09,5.38834455682971e-06
"304178","GMFB_1",TRUE,FALSE,FALSE,FALSE,"GMFB_1",3,1.02383036994902e-08,7.88393899224656e-06
"209168","DCTN3_1",TRUE,FALSE,FALSE,FALSE,"DCTN3_1",5,1.73742671259423e-08,1.28214852111485e-05
"378969","TXNL4A_1",FALSE,FALSE,FALSE,FALSE,"TXNL4A_1",7,2.24860686067536e-08,1.59300304437685e-05
"280810","VEZT_1",TRUE,FALSE,TRUE,FALSE,"VEZT_1",28,2.46302897269419e-08,1.67779638982257e-05
"421904","LARGE1_1",FALSE,FALSE,FALSE,FALSE,"LARGE1_1",16,2.61584605771794e-08,1.71589813067564e-05
"396079","PRMT1_1",FALSE,FALSE,FALSE,FALSE,"PRMT1_1",4,3.0141230307582e-08,1.90654046420566e-05
"85947","ATG3_1",TRUE,TRUE,FALSE,FALSE,"ATG3_1",3,3.31129468860921e-08,2.02228759413647e-05
"24636","SSR2_1",TRUE,FALSE,FALSE,FALSE,"SSR2_1",2,3.9249860922464e-08,2.31718095599253e-05
