"","qry_gene_id","isMinorIntron","isMinorIR","isMinorAS","isIrFinder","GeneID","NExons","P.Value","FDR"
"tx.6210","CCDC43_1",TRUE,FALSE,TRUE,TRUE,"CCDC43_1",4,9.10535282231528e-23,9.88750262975216e-19
"tx.313154","SPC24_1",FALSE,FALSE,FALSE,FALSE,"SPC24_1",8,6.13169311748554e-20,3.32920277813877e-16
"tx.292191","CDIN1_1",FALSE,FALSE,FALSE,FALSE,"CDIN1_1",9,1.71178748562385e-18,6.19610010212979e-15
"NM_022488.5","ATG3_1",TRUE,TRUE,FALSE,FALSE,"ATG3_1",2,2.48768819024895e-16,6.75345151447833e-13
"tx.191754","BMPR2_1",FALSE,FALSE,FALSE,FALSE,"BMPR2_1",5,4.8764044185428e-16,1.05905751161913e-12
"tx.176880","LAMC1_1",FALSE,FALSE,FALSE,FALSE,"LAMC1_1",4,3.16113462945126e-14,5.30276434182198e-11
"tx.216113","ITGA2_1",FALSE,FALSE,FALSE,TRUE,"ITGA2_1",5,3.41830282648069e-14,5.30276434182198e-11
"NM_006230.4","POLD2_1",FALSE,FALSE,FALSE,FALSE,"POLD2_1",3,1.46888364503229e-13,1.99382593767571e-10
"tx.79896","GLS_1",FALSE,FALSE,FALSE,FALSE,"GLS_1",8,1.9322854881487e-13,2.3314097906452e-10
"NM_198337.4","INSIG1_1",TRUE,TRUE,TRUE,FALSE,"INSIG1_1",3,5.87585674443801e-12,6.38059283878524e-09
"tx.326296","ALG12_1",FALSE,FALSE,FALSE,FALSE,"ALG12_1",3,2.12687661649874e-11,2.09961392532362e-08
"tx.5961","DERL2_1",TRUE,TRUE,TRUE,FALSE,"DERL2_1",4,4.1766666381504e-11,3.77953525197293e-08
"tx.320487","SLC9A8_1",TRUE,FALSE,FALSE,FALSE,"SLC9A8_1",5,9.6310912127304e-11,8.04492457531073e-08
"tx.3011","TUSC3_1",TRUE,TRUE,FALSE,FALSE,"TUSC3_1",7,1.34406624024768e-10,1.04251537877497e-07
"tx.22929","PPM1H_1",FALSE,FALSE,FALSE,FALSE,"PPM1H_1",2,1.85750197504444e-10,1.34470759646717e-07
"tx.424","KRTCAP2_1",TRUE,TRUE,FALSE,FALSE,"KRTCAP2_1",2,2.47116160372689e-10,1.67714649092939e-07
"NM_053024.4","PFN2_1",FALSE,FALSE,FALSE,FALSE,"PFN2_1",2,1.31798755044385e-09,8.41883930015871e-07
"tx.6646","UBL5_1",TRUE,FALSE,TRUE,TRUE,"UBL5_1",3,1.44737699048183e-09,8.73170374424568e-07
"tx.58523","CUL1_1",TRUE,TRUE,FALSE,FALSE,"CUL1_1",4,1.62730180682551e-09,9.30045806332538e-07
"tx.440","SSR2_1",TRUE,FALSE,FALSE,FALSE,"SSR2_1",2,1.97881253040488e-09,1.07439626338333e-06
"tx.5659","VPS35L_1",TRUE,FALSE,FALSE,FALSE,"VPS35L_1",4,3.09295377030343e-09,1.49652853989015e-06
"tx.21344","FBXO3_1",FALSE,FALSE,FALSE,FALSE,"FBXO3_1",3,3.23242562569607e-09,1.49652853989015e-06
"tx.63744","ERBIN_1",FALSE,FALSE,FALSE,FALSE,"ERBIN_1",7,3.27650790805266e-09,1.49652853989015e-06
"tx.231287","ADGRG6_1",FALSE,FALSE,FALSE,FALSE,"ADGRG6_1",5,3.30754995463335e-09,1.49652853989015e-06
"tx.169977","MACF1_1",FALSE,FALSE,FALSE,FALSE,"MACF1_1",6,4.45492918738992e-09,1.93504304183469e-06
"NM_020728.3","ESYT2_1",FALSE,FALSE,FALSE,FALSE,"ESYT2_1",2,4.65345186748391e-09,1.94353207034645e-06
"NM_001267700.1","PHB2_1",TRUE,FALSE,FALSE,FALSE,"PHB2_1",2,5.14961238213779e-09,2.07109780954201e-06
"NR_134495.2","HINT1_1",FALSE,FALSE,FALSE,FALSE,"HINT1_1",2,6.76025632658252e-09,2.62177226608427e-06
"tx.746","PRKCE_1",FALSE,FALSE,FALSE,FALSE,"PRKCE_1",5,1.18187342507107e-08,4.42550466305062e-06
"tx.229707","FIG4_1",TRUE,FALSE,FALSE,FALSE,"FIG4_1",4,1.38171729071484e-08,4.95329113018048e-06
"tx.5062","RN7SL1_1",FALSE,FALSE,FALSE,FALSE,"RN7SL1_1",11,1.41405308993089e-08,4.95329113018048e-06
"tx.3968","TMEM80_1",TRUE,FALSE,FALSE,FALSE,"TMEM80_1",2,4.0199170979546e-08,1.36413374270903e-05
"tx.240536","SND1_1",FALSE,FALSE,FALSE,FALSE,"SND1_1",3,4.73100879900899e-08,1.55678862267996e-05
"tx.317684","TMEM230_1",FALSE,FALSE,FALSE,FALSE,"TMEM230_1",7,5.14163208740278e-08,1.64214655403255e-05
"tx.4409","SCARNA12_1",FALSE,FALSE,FALSE,FALSE,"SCARNA12_1",2,6.24850120552398e-08,1.93864213116528e-05
"tx.94705","ZDHHC5_1",FALSE,FALSE,FALSE,FALSE,"ZDHHC5_1",4,7.98855366137231e-08,2.40965845024561e-05
"tx.317519","VPS16_1",TRUE,FALSE,FALSE,TRUE,"VPS16_1",4,9.78381370359099e-08,2.87141710830526e-05
"NR_104049.2","CENATAC_2",FALSE,FALSE,FALSE,FALSE,"CENATAC_2",2,1.02651420766865e-07,2.90662413491205e-05
"NM_003276.2","TMPO_1",FALSE,FALSE,FALSE,TRUE,"TMPO_1",3,1.04391142150815e-07,2.90662413491205e-05
"XM_047444750.1","LOC124901228_1",FALSE,FALSE,FALSE,FALSE,"LOC124901228_1",3,1.0912415710597e-07,2.96244805503433e-05
"tx.87622","ZDHHC17_1",TRUE,FALSE,FALSE,FALSE,"ZDHHC17_1",6,1.22911891653156e-07,3.25536641819907e-05
"tx.4659","DRAM1_1",TRUE,FALSE,TRUE,FALSE,"DRAM1_1",7,1.9243873942072e-07,4.95206628488947e-05
"NM_152905.4","NEDD1_1",TRUE,FALSE,TRUE,FALSE,"NEDD1_1",2,1.96094345934476e-07,4.95206628488947e-05
"tx.42920","CCDC28A_1",TRUE,FALSE,FALSE,TRUE,"CCDC28A_1",2,2.95242709024883e-07,7.28645585750273e-05
"tx.5899","SNORD68_1",FALSE,FALSE,FALSE,FALSE,"SNORD68_1",8,3.59406448753886e-07,8.54560341323079e-05
"tx.6299","MMD_1",FALSE,FALSE,FALSE,FALSE,"MMD_1",3,3.62001802199665e-07,8.54560341323079e-05
"tx.70418","GMFB_1",TRUE,FALSE,FALSE,FALSE,"GMFB_1",3,4.59170249102122e-07,0.000106087866702126
"NM_145897.3","PFDN5_2",TRUE,FALSE,TRUE,TRUE,"PFDN5_2",2,5.13047684085802e-07,0.000116066350030994
"tx.261552","REEP3_1",FALSE,FALSE,FALSE,FALSE,"REEP3_1",2,7.12182814151211e-07,0.000157828432221796
"tx.172722","HS2ST1_1",FALSE,FALSE,FALSE,FALSE,"HS2ST1_1",7,7.38274564408749e-07,0.000160338469898292
"NR_073585.2","DCAF7_1",FALSE,FALSE,FALSE,FALSE,"DCAF7_1",2,7.84635967389105e-07,0.000166744364451971
"tx.20685","TCTN3_1",TRUE,FALSE,FALSE,FALSE,"TCTN3_1",2,7.9848116322889e-07,0.000166744364451971
"tx.250799","RCL1_1",FALSE,FALSE,FALSE,FALSE,"RCL1_1",3,8.6229750348925e-07,0.000176673369629996
"NM_015012.4","TMEM41B_1",TRUE,FALSE,FALSE,FALSE,"TMEM41B_1",2,9.58736367799827e-07,0.000192794781813673
"tx.269377","RNF121_1",TRUE,TRUE,TRUE,TRUE,"RNF121_1",4,1.15798376073373e-06,0.000228628102869229
"tx.4270","SPCS2_1",TRUE,FALSE,FALSE,FALSE,"SPCS2_1",3,1.39962810576363e-06,0.000271402885722987
"tx.7547","TNRC6B_1",FALSE,FALSE,FALSE,FALSE,"TNRC6B_1",14,1.76999042133012e-06,0.000337198701495154
"tx.306125","VMP1_1",FALSE,FALSE,FALSE,FALSE,"VMP1_1",5,2.00294130109984e-06,0.000374998958424882
"NR_104230.1","EXOSC2_1",TRUE,TRUE,FALSE,FALSE,"EXOSC2_1",3,2.07796379136012e-06,0.000382450996786094
"tx.222126","GALNT10_1",FALSE,FALSE,FALSE,FALSE,"GALNT10_1",5,2.43884817723193e-06,0.000441390872609358
"tx.23468","ZCCHC8_1",TRUE,FALSE,FALSE,FALSE,"ZCCHC8_1",4,2.95896606905072e-06,0.000526744467931505
"tx.42216","H1-2_1",FALSE,FALSE,FALSE,FALSE,"H1-2_1",4,3.3852101167044e-06,0.000592903171891823
"tx.4541","MIR9898_1",FALSE,FALSE,FALSE,FALSE,"MIR9898_1",6,5.40155884884864e-06,0.000916500878916896
"NM_003905.4","NAE1_1",FALSE,FALSE,FALSE,FALSE,"NAE1_1",2,5.40160753758922e-06,0.000916500878916896
"NM_002078.5","GOLGA4_1",FALSE,FALSE,FALSE,FALSE,"GOLGA4_1",2,5.94147547329872e-06,0.000992592033300783
